Date,BTC/USDT,BTC Popularity
2018-04-04 11:51:00 AM,7018.7897,0
2018-04-04 11:52:00 AM,7018.7897,0
2018-04-04 11:53:00 AM,7018.7897,0
2018-04-04 11:54:00 AM,7018.7897,0
2018-04-04 11:55:00 AM,7018.7897,0
2018-04-04 11:56:00 AM,7018.7897,0
2018-04-04 11:57:00 AM,7018.7897,0
2018-04-04 11:58:00 AM,7018.7897,0
2018-04-04 11:59:00 AM,7018.7897,0
2018-04-04 12:00:00 PM,7018.7897,0
2018-04-04 12:01:00 PM,7018.7897,0
2018-04-04 12:02:00 PM,7018.7897,0
2018-04-04 12:03:00 PM,7018.7897,0
2018-04-04 12:04:00 PM,7018.7897,0
2018-04-04 12:05:00 PM,7018.7897,0
2018-04-04 12:06:00 PM,7018.7897,0
2018-04-04 12:07:00 PM,7018.7897,0
2018-04-04 12:08:00 PM,7018.7897,0
2018-04-04 12:09:00 PM,7018.7897,0
2018-04-04 12:10:00 PM,7018.7897,0
2018-04-04 12:11:00 PM,7018.7897,0
2018-04-04 12:12:00 PM,7018.7897,0
2018-04-04 12:13:00 PM,7018.7897,0
2018-04-04 12:14:00 PM,7018.7897,0
2018-04-04 12:15:00 PM,7018.7897,0
2018-04-04 12:16:00 PM,7018.7897,0
2018-04-04 12:17:00 PM,7018.7897,0
2018-04-04 12:18:00 PM,7018.7897,0
2018-04-04 12:19:00 PM,7018.7897,0
2018-04-04 12:20:00 PM,7018.7897,35
2018-04-04 12:21:00 PM,7018.7897,133
2018-04-04 12:22:00 PM,7018.7897,6
2018-04-04 12:23:00 PM,7018.7897,0
2018-04-04 12:24:00 PM,7018.7897,0
2018-04-04 12:25:00 PM,7018.7897,29
2018-04-04 12:26:00 PM,7018.7897,105
2018-04-04 12:27:00 PM,7018.7897,101
2018-04-04 12:28:00 PM,7018.7897,71
2018-04-04 12:29:00 PM,7018.7897,81
2018-04-04 12:30:00 PM,7018.7897,65
2018-04-04 12:31:00 PM,7018.7897,59
2018-04-04 12:32:00 PM,7018.7897,92
2018-04-04 12:33:00 PM,7018.7897,0
2018-04-04 12:34:00 PM,7019.14472,0
2018-04-04 12:35:00 PM,7023.36361,0
2018-04-04 12:36:00 PM,7028.29601,0
2018-04-04 12:37:00 PM,7032.08058,0
2018-04-04 12:38:00 PM,7028.30844,0
2018-04-04 12:39:00 PM,7024.65345,0
2018-04-04 12:40:00 PM,7025.20475,0
2018-04-04 12:41:00 PM,7025.3639,0
2018-04-04 12:42:00 PM,7025.77955,0
2018-04-04 12:43:00 PM,7028.90162,16
2018-04-04 12:44:00 PM,7030.17217,105
2018-04-04 12:45:00 PM,7030.17217,38
2018-04-04 12:46:00 PM,7030.17217,76
2018-04-04 12:47:00 PM,7030.17217,122
